title,url,matching_questions,similarity,yes_price,change_1d,change_3d,change_5d
Brownstein on why he thinks McConnell voted against Hegseth's confirmation,https://www.youtube.com/watch?v=vPd1LtnGN9I,Six Trump Cabinet confirmations in January?,0.6143226623535156,0.075,1,0,0
Brownstein on why he thinks McConnell voted against Hegseth's confirmation,https://www.youtube.com/watch?v=vPd1LtnGN9I,Ten or more Trump Cabinet confirmations in January?,0.6077927947044373,0.0865,1,1,0
Brownstein on why he thinks McConnell voted against Hegseth's confirmation,https://www.youtube.com/watch?v=vPd1LtnGN9I,Four Trump Cabinet confirmations in January?,0.6067795157432556,0.0005,1,0,0
Trump hits Colombia with retaliatory tariffs over deportation flights,https://www.youtube.com/watch?v=gyJt5etQw3c,Trump imposes 25% tariff on Canada and Mexico before March?,0.6703564524650574,0.265,1,1,1
Trump hits Colombia with retaliatory tariffs over deportation flights,https://www.youtube.com/watch?v=gyJt5etQw3c,Will Trump impose 25% tariff on Mexico or Canada before February?,0.6409205198287964,0.0535,1,0,1
"Promises made, promises not kept?",https://www.youtube.com/watch?v=nEClLG9xYwM,Will Trump impose tariffs on Mexico in his first week?,0.6038267016410828,0.01,1,0,0
Sen. Murkowski announces she'll vote no on Hegseth,https://www.youtube.com/watch?v=fJyVJK3aa8U,Will Lisa Murkowski vote to confirm Pete Hegseth as Secretary of Defense?,0.7425628304481506,0.325,0,0,0
Trump's 'oligarchy' of tech billionaires to attend inauguration,https://www.youtube.com/watch?v=LvP9lacmmbI,Will Elon Musk attend presidential inauguration?,0.626099705696106,0.9415,1,1,1
Trump's 'oligarchy' of tech billionaires to attend inauguration,https://www.youtube.com/watch?v=LvP9lacmmbI,"Will Trump say ""Elon Musk"" during his inauguration speech?",0.6003570556640625,0.3,0,1,1
I hate to agree': Swisher sides with Steve Bannon on Musk,https://www.youtube.com/watch?v=AZ1_3pC-kvY,Will Mark Zuckerberg attend presidential inauguration?,0.6900826692581177,0.9845,1,0,0
I hate to agree': Swisher sides with Steve Bannon on Musk,https://www.youtube.com/watch?v=AZ1_3pC-kvY,Will Joe Biden attend presidential inauguration?,0.6800048351287842,0.986,1,1,1
I hate to agree': Swisher sides with Steve Bannon on Musk,https://www.youtube.com/watch?v=AZ1_3pC-kvY,Will every president attend Trump’s inauguration?,0.6122158765792847,0.968,0,1,1
See Biden's reaction when reporter asks him if Trump should get credit for Gaza ceasefire,https://www.youtube.com/watch?v=bOAlULVM3HQ,Trump ends Gaza war in first 100 days?,0.6044093370437622,0.915,1,1,1
Former Biden 2020 staffer tells Michelle Obama 'go live your best life' & skip Trump's inauguration,https://www.youtube.com/watch?v=MtSQQSmLtPQ,Will Michelle Obama attend presidential inauguration?,0.7342776656150818,0.0185,1,1,1
Former Biden 2020 staffer tells Michelle Obama 'go live your best life' & skip Trump's inauguration,https://www.youtube.com/watch?v=MtSQQSmLtPQ,Will Kamala Harris attend presidential inauguration?,0.6643167734146118,0.985,0,0,0
Former Biden 2020 staffer tells Michelle Obama 'go live your best life' & skip Trump's inauguration,https://www.youtube.com/watch?v=MtSQQSmLtPQ,Will Hillary Clinton attend presidential inauguration?,0.6291794776916504,0.977,1,0,0
Former Biden 2020 staffer tells Michelle Obama 'go live your best life' & skip Trump's inauguration,https://www.youtube.com/watch?v=MtSQQSmLtPQ,Will Nancy Pelosi attend presidential inauguration?,0.6266010999679565,0.77,0,0,0
Former Biden 2020 staffer tells Michelle Obama 'go live your best life' & skip Trump's inauguration,https://www.youtube.com/watch?v=MtSQQSmLtPQ,Will Barack Obama attend presidential inauguration?,0.6018493175506592,0.991,1,0,0
Former Biden 2020 staffer tells Michelle Obama 'go live your best life' & skip Trump's inauguration,https://www.youtube.com/watch?v=MtSQQSmLtPQ,Will Alexandria Ocasio-Cortez attend presidential inauguration?,0.6014292240142822,0.05,0,0,0
Michelle Obama to skip Trump inauguration,https://www.youtube.com/watch?v=pcVEDtJBy1g,Will Michelle Obama attend presidential inauguration?,0.7164586782455444,0.0185,1,1,1
Michelle Obama to skip Trump inauguration,https://www.youtube.com/watch?v=pcVEDtJBy1g,Will Barack Obama attend presidential inauguration?,0.629669189453125,0.991,1,0,0
Michelle Obama to skip Trump inauguration,https://www.youtube.com/watch?v=pcVEDtJBy1g,Will Hillary Clinton attend presidential inauguration?,0.6051346063613892,0.977,1,0,0
Scott Jennings: Pete Hegseth 'kicked their asses' at confirmation hearing,https://www.youtube.com/watch?v=VBWOAsQXNvQ,Will Pete Hegseth be Trump's Defense Secretary?,0.6925162076950073,0.84,1,1,1
Scott Jennings: Pete Hegseth 'kicked their asses' at confirmation hearing,https://www.youtube.com/watch?v=VBWOAsQXNvQ,Pete Hegseth confirmed as Secretary of Defense?,0.6829420328140259,0.825,1,1,1
Stelter: Zuckerberg wants to get off Trump's enemy list',https://www.youtube.com/watch?v=D3virL5qfEs,Will Mark Zuckerberg attend presidential inauguration?,0.6058559417724609,0.885,0,1,1
Trump's penalty-free sentencing cements felony conviction 10 days before he takes office,https://www.youtube.com/watch?v=8X6g91Wb06Y,Will Trump appeal his hush money conviction?,0.6380127668380737,0.983,0,1,0
Kara Scannell on what she noticed inside the courtroom during Trump's sentencing,https://www.youtube.com/watch?v=df6Z_Op6fhc,Will Trump appeal his hush money conviction?,0.6849830150604248,0.887,1,1,1
Trump sentenced in hush money case,https://www.youtube.com/watch?v=V-h2ttTJUAo,Will Trump appeal his hush money conviction?,0.7934401035308838,0.887,1,1,1
Trump says Biden is making transition really difficult.' Trump's chief of staff thinks differently,https://www.youtube.com/watch?v=Cd2apubddfM,Will Biden pardon Trump?,0.6998280882835388,0.0165,1,1,1
Trump says Biden is making transition really difficult.' Trump's chief of staff thinks differently,https://www.youtube.com/watch?v=Cd2apubddfM,Will Biden issue more pardons than Trump?,0.6676849126815796,0.675,0,0,0
Trump is set to be sentenced in criminal trial but won't face penalties. Analysts break it down,https://www.youtube.com/watch?v=uVboMyTTZlk,Trump sentenced to prison in NY case before inauguration?,0.6831369400024414,0.021,0,0,0
Trump is set to be sentenced in criminal trial but won't face penalties. Analysts break it down,https://www.youtube.com/watch?v=uVboMyTTZlk,Will Trump appeal his hush money conviction?,0.6113689541816711,0.522,1,1,1
He's very angry': Haberman on Trump's reaction to NY hush money case,https://www.youtube.com/watch?v=Cu3TnmGN3Fg,Will Trump appeal his hush money conviction?,0.6267768144607544,0.167,1,1,1
He's very angry': Haberman on Trump's reaction to NY hush money case,https://www.youtube.com/watch?v=Cu3TnmGN3Fg,Trump sentenced to prison in NY case before inauguration?,0.6170152425765991,0.01,1,1,1
Federal appeals court upholds sexual abuse case against Trump,https://www.youtube.com/watch?v=RIg1JloNEmA,Trump $83.3m verdict reduced on appeal?,0.6328989267349243,0.01,0,0,0
Retired general explains why he believes Elon Musk is a national security risk,https://www.youtube.com/watch?v=3q5NHISy1G0,Will Elon Musk be a member of the Trump administration?,0.6416701674461365,0.11,0,0,0
House Ethics report finds evidence Gaetz paid thousands for sex and drugs,https://www.youtube.com/watch?v=4PAcSviKfwQ,Will Matt Gaetz be Trump's Attorney General?,0.6282618641853333,0.035,0,0,0
Trump reacts to critics saying Elon Musk is in charge,https://www.youtube.com/watch?v=E7ufDsZlOgM,Trump deportation executive order on Day 1?,0.7302249073982239,0.79,0,0,0
Trump reacts to critics saying Elon Musk is in charge,https://www.youtube.com/watch?v=E7ufDsZlOgM,Trump deportation executive order in first 100 days?,0.6979526281356812,0.895,0,0,0
Major Tesla investor criticizes Musk's embrace of far-right politics,https://www.youtube.com/watch?v=SniddTMVYvE,Will Elon Musk be a member of the Trump administration?,0.6051226854324341,0.125,0,1,1
Haberman on why Trump's mindset around Hegseth's nomination flipped,https://www.youtube.com/watch?v=YuQj1yOoc8I,RFK Jr. confirmed as Health & Human Services Secretary?,0.608756959438324,0.695,0,1,1
'Unprecedented' move: Trump invites Chinese President Xi Jinping to inauguration,https://www.youtube.com/watch?v=aC505eQqeIc,Will Xi Jinping attend presidential inauguration?,0.7370859384536743,0.0615,0,0,0
Farmer who voted for Trump hopes he won't do what he promised,https://www.youtube.com/watch?v=dbohp3VSo84,Kristi Noem confirmed as Secretary of Homeland Security?,0.6781628131866455,0.925,0,0,0
Trump says Jan. 6 investigators should go to jail'. Hear Liz Cheney's response,https://www.youtube.com/watch?v=C1E3a4eB6P8,Will Trump pardon a January 6 protestor in his first 100 days?,0.7462843060493469,0.925,1,1,0
Trump says Jan. 6 investigators should go to jail'. Hear Liz Cheney's response,https://www.youtube.com/watch?v=C1E3a4eB6P8,Will Biden pardon Trump?,0.7059258222579956,0.076,0,0,0
Trump says Jan. 6 investigators should go to jail'. Hear Liz Cheney's response,https://www.youtube.com/watch?v=C1E3a4eB6P8,Will Trump pardon Ross Ulbricht in his first 100 days?,0.687435507774353,0.645,0,1,1
Kash Patel threatens legal action against former WH colleague,https://www.youtube.com/watch?v=1km_uxAUD9k,Will Kash Patel be Trump's FBI director?,0.6191009283065796,0.67,1,1,1
CNN political commentators get into heated debate over Hunter Biden pardon,https://www.youtube.com/watch?v=3uCYhevAJhM,Will Biden pardon Trump?,0.6505696773529053,0.043,1,1,1
Democratic lawmaker: Hunter Biden's pardon 'will be used against us',https://www.youtube.com/watch?v=M4bJYlyK6ms,Will Biden pardon Trump?,0.653263509273529,0.043,1,1,1
Kasie Hunt rolls the tape on Biden after pardoning his son,https://www.youtube.com/watch?v=X5QFyaLU0lk,Will Biden pardon Trump?,0.6412006616592407,0.043,1,1,1
President Biden pardons his son Hunter Biden,https://www.youtube.com/watch?v=lv1xylNEl8E,Will Biden pardon Trump?,0.6725544929504395,0.043,1,1,1
Elon Musk and Trump dance to 'Y-M-C-A' at Thanksgiving dinner,https://www.youtube.com/watch?v=jF8BGvXJ_Ps,Will Elon Musk be a member of the Trump administration?,0.7245184183120728,0.095,0,0,1
Elon Musk and Trump dance to 'Y-M-C-A' at Thanksgiving dinner,https://www.youtube.com/watch?v=jF8BGvXJ_Ps,Trump nominates Elon Musk to Cabinet?,0.6741906404495239,0.052,1,0,0
"How Mexico, Canada and China are reacting to Trump's tariff threats",https://www.youtube.com/watch?v=ytcnFer58JA,Will Trump impose 25% tariff on Mexico or Canada before February?,0.7611685991287231,0.365,0,0,0
Gaetz says he's not returning to Congress next year,https://www.youtube.com/watch?v=sYn2h9Sv9A4,Will Matt Gaetz be Trump's Attorney General?,0.651540994644165,0.0095,0,0,0
Elon Musk and Jeff Bezos publicly sparring over Trump,https://www.youtube.com/watch?v=2Eo2Ra9EHKg,Elon Musk out as Head of DOGE before July?,0.6173655986785889,0.36,0,0,0
Hear Bondi's vow about prosecutors who investigated Trump,https://www.youtube.com/watch?v=tDZrFy6FS-4,Will Matt Gaetz be Trump's Attorney General?,0.6936757564544678,0.0095,0,0,0
CNN's Manu Raju breaks down likelihood of Pam Bondi becoming attorney general,https://www.youtube.com/watch?v=g9LkBctEZyM,Will Matt Gaetz be Trump's Attorney General?,0.6393874883651733,0.0095,0,0,0
Bob Woodward's theory on why Trump stood behind Gaetz,https://www.youtube.com/watch?v=NZJwM0nUm3c,Will Matt Gaetz be Trump's Attorney General?,0.6504617929458618,0.42,0,0,0
Nikki Haley slams Tulsi Gabbard as Trump's pick for spy chief,https://www.youtube.com/watch?v=zLcXSX6hRRM,Tulsi Gabbard confirmed as Director of National Intelligence?,0.8068341016769409,0.77,0,0,0
Nikki Haley slams Tulsi Gabbard as Trump's pick for spy chief,https://www.youtube.com/watch?v=zLcXSX6hRRM,Will Tulsi Gabbard  be a member of the Trump administration?,0.7221285104751587,0.965,1,0,0
Nikki Haley slams Tulsi Gabbard as Trump's pick for spy chief,https://www.youtube.com/watch?v=zLcXSX6hRRM,Will Trump formally nominate Tulsi Gabbard to the cabinet?,0.6829540133476257,0.946,0,0,0
Yikes': Harry Enten breaks down Matt Gaetz's chances of becoming attorney general,https://www.youtube.com/watch?v=i2XTUBbvubw,Will Mike Davis be Trump's Attorney General?,0.6094906330108643,0.016,1,0,0
Confidential files including deposition of Matt Gaetz accuser breached,https://www.youtube.com/watch?v=fqUX1_XYvNI,Will Matt Gaetz be Trump's Attorney General?,0.6394171118736267,0.395,1,0,0
Confidential files including deposition of Matt Gaetz accuser breached,https://www.youtube.com/watch?v=fqUX1_XYvNI,Matt Gaetz confirmed as Attorney General?,0.6127917766571045,0.295,1,1,1
Hear what key GOP senator said about Matt Gaetz's ethics report,https://www.youtube.com/watch?v=f_sT8tupyuU,Will Matt Gaetz be Trump's Attorney General?,0.7111813426017761,0.375,1,0,0
Hear what key GOP senator said about Matt Gaetz's ethics report,https://www.youtube.com/watch?v=f_sT8tupyuU,Will Matthew Whitaker be Trump's Attorney General?,0.6559658050537109,0.155,0,0,0
Hear what key GOP senator said about Matt Gaetz's ethics report,https://www.youtube.com/watch?v=f_sT8tupyuU,Matt Gaetz confirmed as Attorney General?,0.6235880255699158,0.22,1,1,1
Hear what key GOP senator said about Matt Gaetz's ethics report,https://www.youtube.com/watch?v=f_sT8tupyuU,Will Ken Paxton be Trump's Attorney General?,0.6197627782821655,0.0375,0,0,0
Hear what key GOP senator said about Matt Gaetz's ethics report,https://www.youtube.com/watch?v=f_sT8tupyuU,Will Trump use a recess appointment for Matt Gaetz?,0.6109505891799927,0.195,0,0,0
Hear what key GOP senator said about Matt Gaetz's ethics report,https://www.youtube.com/watch?v=f_sT8tupyuU,Will Mike Davis be Trump's Attorney General?,0.6051062345504761,0.0215,0,0,0
"Heated confrontation between Elon Musk and Trump adviser, Axios reports",https://www.youtube.com/watch?v=JXf13fKBupg,Trump nominates Elon Musk to Cabinet?,0.6810150146484375,0.0655,1,1,0
"Heated confrontation between Elon Musk and Trump adviser, Axios reports",https://www.youtube.com/watch?v=JXf13fKBupg,Will Elon Musk be a member of the Trump administration?,0.6704576015472412,0.1,1,1,1
"Trump DOD pick Hegseth paid accuser but denies sexual assault, attorney says",https://www.youtube.com/watch?v=z_7QF-cJ1sY,Will Pete Hegseth be Trump's Defense Secretary?,0.6973334550857544,0.8,0,0,0
"Trump DOD pick Hegseth paid accuser but denies sexual assault, attorney says",https://www.youtube.com/watch?v=z_7QF-cJ1sY,Pete Hegseth confirmed as Secretary of Defense?,0.6421789526939392,0.685,1,1,0
Trump determined to see Gaetz confirmed as AG despite controversies,https://www.youtube.com/watch?v=U2xsviC14IQ,Will Matt Gaetz be Trump's Attorney General?,0.7711223363876343,0.375,0,1,0
Trump determined to see Gaetz confirmed as AG despite controversies,https://www.youtube.com/watch?v=U2xsviC14IQ,Matt Gaetz confirmed as Attorney General?,0.7555903792381287,0.185,1,1,1
