question,start_date,end_date,video_title,video_url
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-11-27 00:00:03+00:00,2024-12-02 00:00:03+00:00,Trump tariffs will bring ‘severe storm’: former Mexican negotiator | Power &amp; Politics,https://www.youtube.com/watch?v=lFcjkXJ8UL8
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-11-27 00:00:03+00:00,2024-12-02 00:00:03+00:00,"How Mexico, Canada and China are reacting to Trump’s tariff threats",https://www.youtube.com/watch?v=ytcnFer58JA
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-11-27 00:00:03+00:00,2024-12-02 00:00:03+00:00,"Why Trump wants to tariff goods from Canada, China and Mexico",https://www.youtube.com/watch?v=Mqr8JmXWCyI
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-02 00:00:03+00:00,2024-12-07 00:00:03+00:00,Trump Tariffs Part 2 - Canada and Mexico || Peter Zeihan,https://www.youtube.com/watch?v=UrN56pQdAxI
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-02 00:00:03+00:00,2024-12-07 00:00:03+00:00,Trump&#39;s Tariff Threat Sparks Mexico-Canada Feud over Fentanyl and Border Crises | Firstpost America,https://www.youtube.com/watch?v=0YhdhLG_H8E
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-02 00:00:03+00:00,2024-12-07 00:00:03+00:00,Mexico and Canada Fight over Trump | Firstpost America,https://www.youtube.com/watch?v=RtvI0XXHOEA
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-07 00:00:03+00:00,2024-12-12 00:00:03+00:00,"Trump Floats Mexico, Canada As STATES",https://www.youtube.com/watch?v=4fX3rlJCXpM
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-07 00:00:03+00:00,2024-12-12 00:00:03+00:00,Trump Says Mexico and Trudeau&#39;s Canada Should Become US States to Avoid Trade War |Firstpost America,https://www.youtube.com/watch?v=YyVzx5bLiNA
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-07 00:00:03+00:00,2024-12-12 00:00:03+00:00,Trump jokes Canada and Mexico should become US states,https://www.youtube.com/watch?v=VUi7ddRGXX4
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-12 00:00:03+00:00,2024-12-17 00:00:03+00:00,Donald Trump responds to Doug Ford&#39;s threat to cut off energy amid looming tariffs,https://www.youtube.com/watch?v=akgRO7u6IU4
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-12 00:00:03+00:00,2024-12-17 00:00:03+00:00,What are tariffs and could Trump’s plans backfire? | Start Here,https://www.youtube.com/watch?v=kYNqTQ0zzew
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-12 00:00:03+00:00,2024-12-17 00:00:03+00:00,How Can Canada and Mexico Stop Trump&#39;s Trade Tariffs,https://www.youtube.com/watch?v=BfZkZ3IinuU
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-17 00:00:03+00:00,2024-12-22 00:00:03+00:00,Trump &amp; Tariffs #trump #tariffs #america #mexico #canada #trade #news,https://www.youtube.com/watch?v=f34z3AAf4ls
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-17 00:00:03+00:00,2024-12-22 00:00:03+00:00,Canadian official threatens to cut off energy to the United States,https://www.youtube.com/watch?v=IPpSWhXWY8g
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-17 00:00:03+00:00,2024-12-22 00:00:03+00:00,Trump&#39;s &#39;51st state&#39; taunts get mixed reaction in Canada,https://www.youtube.com/watch?v=KVdT3U9s8AI
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-22 00:00:03+00:00,2024-12-27 00:00:03+00:00,How Trump Plans to Deport 4% of the U.S. Population | WSJ,https://www.youtube.com/watch?v=eqPgAU1JRL4
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-22 00:00:03+00:00,2024-12-27 00:00:03+00:00,El presidente de Panamá  le responde a Trump por el Canal de Panamá,https://www.youtube.com/watch?v=dtGC0yGIbMs
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-22 00:00:03+00:00,2024-12-27 00:00:03+00:00,💥🤯கிரீன்லாந்தை வம்பிழுக்கும் டிரம்ப்..⁉️💢 #pandianexpress #shortsfeed #shorts #trump #greenland,https://www.youtube.com/watch?v=56oJ3LcE4UQ
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-27 00:00:03+00:00,2025-01-01 00:00:03+00:00,Why Trump Loves Tariffs Part 1 | Victor Davis Hanson,https://www.youtube.com/watch?v=WP0LyHGF6BY
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-27 00:00:03+00:00,2025-01-01 00:00:03+00:00,Trump&#39;s Tariffs &amp; Sanctions: Holding Mexico &amp; Canada Accountable,https://www.youtube.com/watch?v=YJOCfAGj2jY
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-27 00:00:03+00:00,2025-01-01 00:00:03+00:00,Los aranceles de Trump podrían ser inflacionarios,https://www.youtube.com/watch?v=dXtnQbTfHfA
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-06 00:00:03+00:00,2025-01-11 00:00:03+00:00,"Trump answers questions about Canada, Greenland, Panama Canal, Gulf of Mexico",https://www.youtube.com/watch?v=8dBrBXQj0LI
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-06 00:00:03+00:00,2025-01-11 00:00:03+00:00,Trump says he plans to change Gulf of Mexico&#39;s name to &quot;Gulf of America&quot;,https://www.youtube.com/watch?v=DXj7HWem5fg
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-06 00:00:03+00:00,2025-01-11 00:00:03+00:00,"Trump&#39;s New Tariffs: How 25% on Canada, Mexico &amp; 10% on China Will Hit YOUR Wallet!",https://www.youtube.com/watch?v=WPz0KZsQdJ8
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-11 00:00:03+00:00,2025-01-16 00:00:03+00:00,Can Donald Trump actually rename the Gulf of Mexico?,https://www.youtube.com/watch?v=IRfKf08ZErk
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-11 00:00:03+00:00,2025-01-16 00:00:03+00:00,Will Donald Trump really take Canada and Greenland? | BBC Americast,https://www.youtube.com/watch?v=AgU6z8dM4iU
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-11 00:00:03+00:00,2025-01-16 00:00:03+00:00,Why does Trump want to grab Greenland? Sky&#39;s Michael Clarke explains,https://www.youtube.com/watch?v=LJAxv1Y6Kcs
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-16 00:00:03+00:00,2025-01-21 00:00:03+00:00,"Canada, Mexico, Greenland... Trump&#39;s foreign policy targets • FRANCE 24 English",https://www.youtube.com/watch?v=5FGjLlnttJc
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-16 00:00:03+00:00,2025-01-21 00:00:03+00:00,&#39;We will retaliate&#39;: Canada&#39;s FM responds to Trump&#39;s tariff threats,https://www.youtube.com/watch?v=b3C3UdXqVCg
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-16 00:00:03+00:00,2025-01-21 00:00:03+00:00,Can Canada avoid Trump&#39;s tariffs for good? | Power &amp; Politics,https://www.youtube.com/watch?v=-e1SUluJtnc
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-21 00:00:03+00:00,2025-01-26 00:00:03+00:00,Why does Trump want to tariff Canada and Mexico?,https://www.youtube.com/watch?v=Org6TTMe_vE
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-21 00:00:03+00:00,2025-01-26 00:00:03+00:00,"Fmr Reagan economist makes big prediction on Trump’s 25% tariff on Mexico, Canada",https://www.youtube.com/watch?v=QKz4qgwgKGc
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-21 00:00:03+00:00,2025-01-26 00:00:03+00:00,"Trump threatens Canada, Mexico with 25% tariffs by Feb. 1",https://www.youtube.com/watch?v=rKcKx2WrEoc
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-26 00:00:03+00:00,2025-01-31 00:00:03+00:00,Trump&#39;s commerce nominee was asked about tariffs on Canada and Mexico: Hear the exchange,https://www.youtube.com/watch?v=psawCX3sl8s
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-26 00:00:03+00:00,2025-01-31 00:00:03+00:00,Trump Plans to Hit Canada and Mexico With 25% Tariffs,https://www.youtube.com/watch?v=DSoy_Ikb9Rs
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-26 00:00:03+00:00,2025-01-31 00:00:03+00:00,"Trump’s tariffs on Mexico, Canada to take effect this weekend",https://www.youtube.com/watch?v=C7HS4sq5zOA
Will Trump remove tariff on Mexico before March?,2025-02-03 00:00:05+00:00,2025-02-08 00:00:05+00:00,Trump will wipe the Mexican cartel ‘off the face of the Earth’: Tom Homan,https://www.youtube.com/watch?v=ryFVKhOJSAE
Will Trump remove tariff on Mexico before March?,2025-02-03 00:00:05+00:00,2025-02-08 00:00:05+00:00,Top economist predicts what impact Trump&#39;s tariffs will have on Americans,https://www.youtube.com/watch?v=I_ZOj4BtH1Y
Will Trump remove tariff on Mexico before March?,2025-02-03 00:00:05+00:00,2025-02-08 00:00:05+00:00,"China and Mexico follow in Canada’s footsteps, vow swift response to Trump tariffs",https://www.youtube.com/watch?v=1VSCbz-5t8s
Will Trump remove tariff on Mexico before March?,2025-02-08 00:00:05+00:00,2025-02-13 00:00:05+00:00,Trump renames Gulf of Mexico to ‘Gulf of America’: Is it legally possible?,https://www.youtube.com/watch?v=AI_YR7FuwXk
Will Trump remove tariff on Mexico before March?,2025-02-08 00:00:05+00:00,2025-02-13 00:00:05+00:00,How is Mexico fighting against Trump’s tariffs? | Power &amp; Politics,https://www.youtube.com/watch?v=KVxVr62024o
Will Trump remove tariff on Mexico before March?,2025-02-08 00:00:05+00:00,2025-02-13 00:00:05+00:00,US Spy Planes Track and &quot;Hunt&quot; Mexican Cartels Across US-Mexico Border | Firstpost America | N18G,https://www.youtube.com/watch?v=UohDb2R553o
Will Trump remove tariff on Mexico before March?,2025-02-13 00:00:05+00:00,2025-02-18 00:00:05+00:00,"Mexico, US will discuss steel tariffs later this week: Mexican president",https://www.youtube.com/watch?v=xMG6-rIMHRI
Will Trump remove tariff on Mexico before March?,2025-02-13 00:00:05+00:00,2025-02-18 00:00:05+00:00,TRUMP SAYS &quot;ENOUGH!&quot; TO MEXICO: &quot;YOU WILL PAY FOR THAT!&quot;,https://www.youtube.com/watch?v=v7VFg-NRxxE
Will Trump remove tariff on Mexico before March?,2025-02-13 00:00:05+00:00,2025-02-18 00:00:05+00:00,Mexico&#39;s president responds to Google changing &#39;Gulf of Mexico&#39; on maps,https://www.youtube.com/watch?v=wu5OW90ltbo
Will Trump remove tariff on Mexico before March?,2025-02-18 00:00:05+00:00,2025-02-23 00:00:05+00:00,Mexico&#39;s new fear Trump&#39;s military will pursue cartels,https://www.youtube.com/watch?v=_MBPrDcJK4o
Will Trump remove tariff on Mexico before March?,2025-02-18 00:00:05+00:00,2025-02-23 00:00:05+00:00,"US Green Berets Lead War On Drug Cartels In Mexico, Will Trump Unleash CIA Next? | CLRCUT",https://www.youtube.com/watch?v=t7BtWDcvdXk
Will Trump remove tariff on Mexico before March?,2025-02-18 00:00:05+00:00,2025-02-23 00:00:05+00:00,&#39;Mexico Is Largely Run By The Cartels&#39;: Trump Issues Defense Of CIA Drone Flights Over Mexico,https://www.youtube.com/watch?v=_-XQd1BI7PM
Will Trump remove tariff on Mexico before March?,2025-02-23 00:00:05+00:00,2025-02-28 00:00:05+00:00,President Trump says tariffs on Canada and Mexico &#39;will go forward&#39;,https://www.youtube.com/watch?v=RU6FQQtsYSI
Will Trump remove tariff on Mexico before March?,2025-02-23 00:00:05+00:00,2025-02-28 00:00:05+00:00,"Trump Says Canada, Mexico, China Tariffs Start March 4",https://www.youtube.com/watch?v=1f1tcf0rT08
Will Trump remove tariff on Mexico before March?,2025-02-23 00:00:05+00:00,2025-02-28 00:00:05+00:00,"Trump Says Canada, Mexico Tariffs Go Into Effect April 2",https://www.youtube.com/watch?v=Cc6nsssLoPI
Will Trump pass a border/immigration law in first 100 days?,2025-02-08 00:00:04+00:00,2025-02-13 00:00:04+00:00,Will Donald Trump&#39;s tariff gamble pay off? | DW News,https://www.youtube.com/watch?v=Uz_0kBGmKQs
Will Trump pass a border/immigration law in first 100 days?,2025-02-08 00:00:04+00:00,2025-02-13 00:00:04+00:00,Will Trump succeed in pinching the penny?,https://www.youtube.com/watch?v=BXuAq3u9gFA
Will Trump pass a border/immigration law in first 100 days?,2025-02-08 00:00:04+00:00,2025-02-13 00:00:04+00:00,Ukraine war: Will Trump end the war? | Four Corners documentary,https://www.youtube.com/watch?v=WpNZ7W48vCo
Will Trump pass a border/immigration law in first 100 days?,2025-02-13 00:00:04+00:00,2025-02-18 00:00:04+00:00,Will President Trump&#39;s Auto Tariffs Be Implemented in April?,https://www.youtube.com/watch?v=uSycsCcgzp0
Will Trump pass a border/immigration law in first 100 days?,2025-02-13 00:00:04+00:00,2025-02-18 00:00:04+00:00,How will Trump’s tariffs affect local housing?,https://www.youtube.com/watch?v=zqKd1-CBgv4
Will Trump pass a border/immigration law in first 100 days?,2025-02-13 00:00:04+00:00,2025-02-18 00:00:04+00:00,Will Trump and Musk cancel NASA&#39;s giant moon rocket? | REUTERS,https://www.youtube.com/watch?v=ojl15atf9FM
Will Trump pass a border/immigration law in first 100 days?,2025-02-18 00:00:04+00:00,2025-02-23 00:00:04+00:00,What will be Trump&#39;s final straw? Musk &#39;seems to forget&#39; who is president,https://www.youtube.com/watch?v=Zdt1kQy48Q0
Will Trump pass a border/immigration law in first 100 days?,2025-02-18 00:00:04+00:00,2025-02-23 00:00:04+00:00,Will Canada avoid Trump’s tariff threat? | Power &amp; Politics,https://www.youtube.com/watch?v=9UShKCuItqY
Will Trump pass a border/immigration law in first 100 days?,2025-02-18 00:00:04+00:00,2025-02-23 00:00:04+00:00,BREAKING: Trump administration considering stimulus checks for taxpayers,https://www.youtube.com/watch?v=lWA0iLNiXxY
Will Trump pass a border/immigration law in first 100 days?,2025-02-23 00:00:04+00:00,2025-02-28 00:00:04+00:00,Will Trump impose tariffs on the UK? | Trump-Starmer meeting,https://www.youtube.com/watch?v=t_wxTNynbcM
Will Trump pass a border/immigration law in first 100 days?,2025-02-23 00:00:04+00:00,2025-02-28 00:00:04+00:00,"Trump, GOP will &#39;collapse&#39; in 30 days, predicts James Carville",https://www.youtube.com/watch?v=PW9v0obwlUA
Will Trump pass a border/immigration law in first 100 days?,2025-02-23 00:00:04+00:00,2025-02-28 00:00:04+00:00,Which Canadian industries will be most impacted by the Trump tariffs?,https://www.youtube.com/watch?v=gNcR0qJhzMw
Will Trump pass a border/immigration law in first 100 days?,2025-02-28 00:00:04+00:00,2025-03-05 00:00:04+00:00,How will Trump justify the stocks plunge reacting to his tariffs?,https://www.youtube.com/watch?v=smF8_dNX0Ps
Will Trump pass a border/immigration law in first 100 days?,2025-02-28 00:00:04+00:00,2025-03-05 00:00:04+00:00,"Trump Tariffs on Canada, Mexico: How Will They Affect Car Prices?",https://www.youtube.com/watch?v=Q50nWPrpadU
Will Trump pass a border/immigration law in first 100 days?,2025-02-28 00:00:04+00:00,2025-03-05 00:00:04+00:00,"Canada will respond to Trump tariffs ‘like they’ve never seen before,’ says Ontario premier",https://www.youtube.com/watch?v=TLjIcr-GsCI
Will Trump pass a border/immigration law in first 100 days?,2025-03-05 00:00:04+00:00,2025-03-10 00:00:04+00:00,Tariff war: Does Trump actually know what he&#39;s doing? | About That,https://www.youtube.com/watch?v=lHoZUxtsVW0
Will Trump pass a border/immigration law in first 100 days?,2025-03-05 00:00:04+00:00,2025-03-10 00:00:04+00:00,Will Trump pardon Derek Chauvin?,https://www.youtube.com/watch?v=OvuwX_Qjghg
Will Trump pass a border/immigration law in first 100 days?,2025-03-05 00:00:04+00:00,2025-03-10 00:00:04+00:00,How Trump&#39;s tariffs on Canada will impact businesses,https://www.youtube.com/watch?v=eZkLm64laXw
Will Trump pass a border/immigration law in first 100 days?,2025-03-10 00:00:04+00:00,2025-03-15 00:00:04+00:00,"&#39;I think annexation of Greenland will happen,&#39; says Donald Trump",https://www.youtube.com/watch?v=EHgNMH1lsPs
Will Trump pass a border/immigration law in first 100 days?,2025-03-10 00:00:04+00:00,2025-03-15 00:00:04+00:00,Trump will &#39;get a deal done&#39; on Greenland: Former US ambassador to Denmark | The Hill,https://www.youtube.com/watch?v=e3Fk5iTaZXo
Will Trump pass a border/immigration law in first 100 days?,2025-03-10 00:00:04+00:00,2025-03-15 00:00:04+00:00,How Americans Will Pay For Trump&#39;s Canadian Tariffs,https://www.youtube.com/watch?v=sXTVwtmABXM
