question,date,volatility_label_1d,volatility_label_3d,volatility_label_5d
25% steel tariff in effect before May?,2025-03-11T14:27:38Z,0,0,0
25% aluminum tariff in effect before May?,2025-03-11T14:27:38Z,0,0,0
Will Trump lower automobile tariffs on Canada/Mexico by next Friday?,2025-03-06T17:39:16Z,0,0,0
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-06T12:45:09Z,0,0,0
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-05T16:15:02Z,0,0,0
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-04T22:30:03Z,0,0,0
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-04T13:15:04Z,0,1,1
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-04T12:00:43Z,0,1,1
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-04T10:30:22Z,0,1,1
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-04T02:00:16Z,0,1,1
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-04T00:11:12Z,0,1,1
Trump tariffs on Mexico in effect by May 1?,2025-03-03T01:30:04Z,0,1,1
Will Trump increase tariffs on China before May?,2025-03-03T01:30:04Z,0,1,1
Will FBI send Pam Bondi the full Epstein files by Friday?,2025-02-28T10:15:05Z,0,1,1
Will FBI send Pam Bondi the full Epstein files by Friday?,2025-02-28T10:15:05Z,0,1,1
Will Trump meet with Zelenskyy before July?,2025-02-26T13:15:08Z,0,0,0
Will Trump meet with Volodymyr Zelenskyy in 2025?,2025-02-26T13:15:08Z,0,0,0
Will Trump meet with Volodymyr Zelenskyy in his first 100 days?,2025-02-26T13:15:08Z,0,0,0
Trump declassifies Epstein list in first 100 days?,2025-02-22T17:00:26Z,0,1,1
Will Trump halt NYC congestion pricing before April?,2025-02-21T19:00:42Z,0,0,1
Will Trump halt NYC congestion pricing before April?,2025-02-20T14:30:04Z,0,0,0
Will Trump list the Sinaloa Cartel as a terrorist organization before April?,2025-02-19T16:15:06Z,0,1,0
Will Trump list the Tren de Aragua as a terrorist organization before April?,2025-02-19T16:15:06Z,0,0,0
Will Trump list the Gulf Cartel as a terrorist organization before April?,2025-02-19T16:15:06Z,0,1,0
Will fewer than 50k federal employees accept the buyout?,2025-02-13T21:00:08Z,0,1,1
Will 100-150k federal employees accept the buyout?,2025-02-13T21:00:08Z,0,1,1
Will 50-100k federal employees accept the buyout?,2025-02-13T21:00:08Z,0,0,0
Will 500k or more federal employees accept the buyout?,2025-02-13T21:00:08Z,0,0,1
Will 150-200k federal employees accept the buyout?,2025-02-13T21:00:08Z,0,1,1
Will 300-350k federal employees accept the buyout?,2025-02-13T21:00:08Z,0,1,1
Will 200-250k federal employees accept the buyout?,2025-02-13T21:00:08Z,0,1,1
Will 250-300k federal employees accept the buyout?,2025-02-13T21:00:08Z,0,1,1
Will 350-400k federal employees accept the buyout?,2025-02-13T21:00:08Z,0,1,1
Will 450-500k federal employees accept the buyout?,2025-02-13T21:00:08Z,0,0,0
Will 400-450k federal employees accept the buyout?,2025-02-13T21:00:08Z,0,1,1
Will Tulsi Gabbard be Trump’s Director of National Intelligence?,2025-02-11T12:45:06Z,0,0,0
Will Mitch McConnell vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-11T12:45:06Z,0,1,1
Will Cynthia Lummis vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-11T12:45:06Z,0,0,0
Will Bill Cassidy vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-11T12:45:06Z,0,0,0
Will Joni Ernst vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-11T12:45:06Z,0,0,0
Tulsi Gabbard confirmed as Director of National Intelligence?,2025-02-11T12:45:06Z,0,0,0
Will John Fetterman vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-11T12:45:06Z,0,1,1
Will Susan Collins vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-11T12:45:06Z,0,0,0
Will Lisa Murkowski  vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-11T12:45:06Z,0,1,1
Will John Curtis vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-11T12:45:06Z,0,1,1
Will fewer than 50k federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will 500k or more federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will 50-100k federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will 450-500k federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will 100-150k federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will 150-200k federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will 200-250k federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will 350-400k federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will 400-450k federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will 250-300k federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will 300-350k federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will Stephen Miller be Trump’s Director of National Intelligence?,2025-02-08T09:45:00Z,0,0,0
Elon Musk out as Head of DOGE before July?,2025-02-07T21:30:08Z,0,1,1
Will 500k or more federal employees accept the buyout?,2025-02-07T20:00:18Z,0,1,1
Will 100-150k federal employees accept the buyout?,2025-02-07T20:00:18Z,0,1,1
Will fewer than 50k federal employees accept the buyout?,2025-02-07T20:00:18Z,0,1,1
Will 50-100k federal employees accept the buyout?,2025-02-07T20:00:18Z,0,1,1
Will 150-200k federal employees accept the buyout?,2025-02-07T20:00:18Z,0,1,1
Will 300-350k federal employees accept the buyout?,2025-02-07T20:00:18Z,0,1,1
Will 250-300k federal employees accept the buyout?,2025-02-07T20:00:18Z,0,1,1
Will 350-400k federal employees accept the buyout?,2025-02-07T20:00:18Z,0,1,1
Will 450-500k federal employees accept the buyout?,2025-02-07T20:00:18Z,0,1,1
Will 200-250k federal employees accept the buyout?,2025-02-07T20:00:18Z,0,1,1
Will fewer than 50k federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 300-350k federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 50-100k federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 150-200k federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 200-250k federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 250-300k federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 350-400k federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 100-150k federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 500k or more federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 450-500k federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 400-450k federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 300-350k federal employees accept the buyout?,2025-02-06T18:45:06Z,0,1,1
Will 350-400k federal employees accept the buyout?,2025-02-06T18:45:06Z,0,1,1
Will fewer than 50k federal employees accept the buyout?,2025-02-06T18:45:06Z,0,1,1
Will 500k or more federal employees accept the buyout?,2025-02-06T18:45:06Z,0,1,1
Will 100-150k federal employees accept the buyout?,2025-02-06T18:45:06Z,0,1,1
Will 250-300k federal employees accept the buyout?,2025-02-06T18:45:06Z,0,1,1
Will 150-200k federal employees accept the buyout?,2025-02-06T18:45:06Z,0,1,1
Will 50-100k federal employees accept the buyout?,2025-02-06T18:45:06Z,0,1,1
Will 450-500k federal employees accept the buyout?,2025-02-06T18:45:06Z,0,1,1
Will 400-450k federal employees accept the buyout?,2025-02-06T18:45:06Z,0,1,1
Will 200-250k federal employees accept the buyout?,2025-02-06T18:45:06Z,0,1,1
Will Tulsi Gabbard be Trump’s Director of National Intelligence?,2025-02-06T10:00:14Z,0,0,0
Tulsi Gabbard confirmed as Director of National Intelligence?,2025-02-06T10:00:14Z,0,0,0
Will Joni Ernst vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-06T10:00:14Z,0,0,0
Will John Fetterman vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-06T10:00:14Z,0,1,1
Will Susan Collins vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-06T10:00:14Z,0,0,0
Will Bill Cassidy vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-06T10:00:14Z,0,0,0
Will John Curtis vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-06T10:00:14Z,0,1,1
Will Cynthia Lummis vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-06T10:00:14Z,0,0,0
Will Mitch McConnell vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-06T10:00:14Z,0,1,1
Will Ezra Cohen-Watnick be Trump’s Director of National Intelligence?,2025-02-06T10:00:14Z,0,1,1
Will Lisa Murkowski  vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-06T10:00:14Z,0,1,1
Will Chris Stewart be Trump’s Director of National Intelligence?,2025-02-06T10:00:14Z,0,1,1
Will Douglas Macgregor be Trump’s Director of National Intelligence?,2025-02-06T10:00:14Z,0,1,1
Trump transgender sports ban?,2025-02-05T21:17:37Z,0,0,0
Will Trump say 'Elon' or 'Musk' during the 2025 State of the Union?,2025-02-05T10:00:30Z,0,0,0
Will fewer than 50k federal employees accept the buyout?,2025-02-05T02:30:36Z,0,1,1
Will 100-150k federal employees accept the buyout?,2025-02-05T02:30:36Z,0,1,1
Will 150-200k federal employees accept the buyout?,2025-02-05T02:30:36Z,0,1,1
Will 500k or more federal employees accept the buyout?,2025-02-05T02:30:36Z,0,1,1
Will 250-300k federal employees accept the buyout?,2025-02-05T02:30:36Z,0,1,1
Will 300-350k federal employees accept the buyout?,2025-02-05T02:30:36Z,0,1,1
Will 50-100k federal employees accept the buyout?,2025-02-05T02:30:36Z,0,1,1
Will Trump designate cartels as terrorists before March?,2025-02-04T19:15:00Z,0,1,1
Will Trump remove tariff on Mexico before March?,2025-02-03T20:45:00Z,0,1,1
Will Trump remove tariff on Canada before March?,2025-02-03T20:45:00Z,0,1,1
Will Trump remove tariff on Mexico before March?,2025-02-03T17:45:00Z,0,1,1
Will Trump remove tariff on Mexico before March?,2025-02-03T17:00:48Z,0,1,1
Will Trump remove tariff on Canada before March?,2025-02-03T15:45:04Z,0,1,1
Will Trump remove tariff on Mexico before March?,2025-02-03T13:01:05Z,0,1,1
Will Trump increase tariffs on China before May?,2025-02-03T13:01:05Z,0,1,1
Will Trump remove tariff on China before March?,2025-02-03T13:01:05Z,0,1,1
Will Trump remove tariff on Canada before March?,2025-02-03T13:01:05Z,0,1,1
Will Andrew Bailey be Trump's FBI director?,2025-02-03T11:00:01Z,0,1,1
Will Trump remove tariff on Mexico before March?,2025-02-03T01:00:29Z,0,1,1
Will Trump meet with Benjamin Netanyahu in his first 100 days?,2025-02-02T20:30:06Z,0,0,0
Will Trump list the Jalisco New Generation Cartel (CJNG) as a terrorist organization before April?,2025-02-02T05:15:00Z,0,1,1
Will Trump designate cartels as terrorists before March?,2025-02-02T05:15:00Z,0,1,1
Will Trump list the Gulf Cartel as a terrorist organization before April?,2025-02-02T05:15:00Z,0,1,1
Will Trump meet with Benjamin Netanyahu in his first 100 days?,2025-02-01T19:30:02Z,0,0,0
Will Tulsi Gabbard be Trump’s Director of National Intelligence?,2025-01-31T23:01:01Z,0,1,1
Tulsi Gabbard confirmed as Director of National Intelligence?,2025-01-31T23:01:01Z,0,1,1
Will Bill Cassidy vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-01-31T23:01:01Z,0,1,1
Will Mitch McConnell vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-01-31T23:01:01Z,0,1,1
Will Cynthia Lummis vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-01-31T23:01:01Z,0,1,1
Will John Fetterman vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-01-31T23:01:01Z,0,1,1
Will Joni Ernst vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-01-31T23:01:01Z,0,1,1
Will Susan Collins vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-01-31T23:01:01Z,0,1,1
Will John Curtis vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-01-31T23:01:01Z,0,1,1
Will Lisa Murkowski  vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-01-31T23:01:01Z,0,1,1
Trump imposes 25% tariff on Canada and Mexico before March?,2025-01-31T22:00:54Z,0,1,1
Will Trump impose tariffs on Mexico before March?,2025-01-31T22:00:54Z,0,1,0
Will Trump impose tariffs on Canada before March?,2025-01-31T22:00:54Z,0,1,0
Will Trump impose tariffs on China before March?,2025-01-31T22:00:54Z,0,1,1
Will Tulsi Gabbard be Trump’s Director of National Intelligence?,2025-01-31T16:15:00Z,0,1,1
Tulsi Gabbard confirmed as Director of National Intelligence?,2025-01-31T16:15:00Z,0,1,1
Will Bill Cassidy vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-01-31T16:15:00Z,0,1,1
Will Mitch McConnell vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-01-31T16:15:00Z,0,1,1
Will Joni Ernst vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-01-31T16:15:00Z,0,1,1
Will Cynthia Lummis vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-01-31T16:15:00Z,0,1,1
Kash Patel confirmed as Director of the FBI?,2025-01-31T16:15:00Z,0,0,0
Will Kash Patel be Trump's FBI director?,2025-01-31T01:45:03Z,0,0,0
Will Devin Nunes be Trump’s Director of National Intelligence?,2025-01-31T01:45:03Z,0,1,1
Kash Patel confirmed as Director of the FBI?,2025-01-31T01:45:03Z,0,0,0
Will Andrew Bailey be Trump's FBI director?,2025-01-31T01:45:03Z,0,1,1
Will Mike Rogers be Trump's FBI director?,2025-01-31T01:45:03Z,0,1,1
Will Ric Grenell be Trump’s Director of National Intelligence?,2025-01-31T01:45:03Z,0,1,1
Will Stephen Miller be Trump’s Director of National Intelligence?,2025-01-31T01:45:03Z,0,1,1
Will Ken Paxton be Trump's FBI director?,2025-01-31T01:45:03Z,0,1,1
Kash Patel confirmed as Director of the FBI?,2025-01-30T15:55:56Z,0,1,0
Will Kash Patel be Trump's FBI director?,2025-01-30T15:55:56Z,0,1,1
RFK Jr. confirmed as Health & Human Services Secretary?,2025-01-30T07:30:10Z,0,1,1
RFK Jr. confirmed as Health & Human Services Secretary?,2025-01-30T01:00:38Z,0,1,1
Will RFK Jr. be Trump's HHS Secretary?,2025-01-30T01:00:38Z,0,1,0
Will Tom Cotton be Trump's Defense Secretary?,2025-01-24T19:00:13Z,0,1,1
Will Pete Hegseth be Trump's Defense Secretary?,2025-01-24T19:00:13Z,0,0,0
Will Ron DeSantis be Trump's Defense Secretary?,2025-01-24T19:00:13Z,0,1,1
Birthright citizenship ban blocked in January?,2025-01-23T20:30:03Z,0,1,1
One Trump Cabinet confirmation in January?,2025-01-23T01:30:32Z,0,1,1
Ten or more Trump Cabinet confirmations in January?,2025-01-23T01:30:32Z,0,1,1
Eight Trump Cabinet confirmations in January?,2025-01-23T01:30:32Z,0,1,1
Seven Trump Cabinet confirmations in January?,2025-01-23T01:30:32Z,0,1,1
Two Trump Cabinet confirmations in January?,2025-01-23T01:30:32Z,0,1,1
Three Trump Cabinet confirmations in January?,2025-01-23T01:30:32Z,0,1,1
Four Trump Cabinet confirmations in January?,2025-01-23T01:30:32Z,0,1,1
Five Trump Cabinet confirmations in January?,2025-01-23T01:30:32Z,0,1,1
Six Trump Cabinet confirmations in January?,2025-01-23T01:30:32Z,0,1,1
Nine Trump Cabinet confirmations in January?,2025-01-23T01:30:32Z,0,1,1
Will Trump withdraw from Paris climate agreement in first 100 days?,2025-01-21T20:30:00Z,0,1,0
Will Trump issue 10-14 executive orders on Day 1?,2025-01-20T18:45:00Z,0,1,1
Will Trump issue less than 10 executive orders on Day 1?,2025-01-20T18:45:00Z,0,1,1
Will Trump issue 15-19 executive orders on Day 1?,2025-01-20T18:45:00Z,0,1,1
Will Trump issue 20-24 executive orders on Day 1?,2025-01-20T18:45:00Z,0,1,1
Will Trump issue 25-29 executive orders on Day 1?,2025-01-20T18:45:00Z,0,1,1
Will Trump issue 40 or more executive orders on Day 1?,2025-01-20T18:45:00Z,0,1,1
Will Donald Trump issue 100 or more executive orders in his first week?,2025-01-20T18:45:00Z,0,1,1
Will Donald Trump issue less than 25 executive orders in his first week?,2025-01-20T11:30:07Z,0,1,1
Will Donald Trump issue 50-74 executive orders in his first week?,2025-01-20T11:30:07Z,0,1,1
Seven Trump Cabinet confirmations in January?,2025-01-17T00:15:02Z,0,1,1
Five Trump Cabinet confirmations in January?,2025-01-17T00:15:02Z,0,1,1
Eight Trump Cabinet confirmations in January?,2025-01-17T00:15:02Z,0,1,1
Two Trump Cabinet confirmations in January?,2025-01-17T00:15:02Z,0,1,1
Four Trump Cabinet confirmations in January?,2025-01-17T00:15:02Z,0,1,1
Three Trump Cabinet confirmations in January?,2025-01-17T00:15:02Z,0,1,1
Nine Trump Cabinet confirmations in January?,2025-01-17T00:15:02Z,0,1,1
Pam Bondi confirmed as Attorney General?,2025-01-16T20:30:00Z,0,0,0
Will Pam Bondi be Trump's Attorney General?,2025-01-16T20:30:00Z,0,0,0
Marco Rubio confirmed as Secretary of State?,2025-01-16T16:02:15Z,0,0,0
Pam Bondi confirmed as Attorney General?,2025-01-16T12:00:17Z,0,0,0
Will Pam Bondi be Trump's Attorney General?,2025-01-16T12:00:17Z,0,0,0
Will Mike Lee be Trump's Attorney General?,2025-01-16T06:00:18Z,0,1,1
Pam Bondi confirmed as Attorney General?,2025-01-15T22:15:02Z,0,0,0
Will Pam Bondi be Trump's Attorney General?,2025-01-15T22:15:02Z,0,0,0
One Trump Cabinet confirmation in January?,2025-01-15T20:45:00Z,0,1,1
