title,url,matching_questions,similarity,date,yes_price,change_1d,change_3d,change_5d
"Interview: Kristen Welker Interviews Donald Trump for Meet the Press on NBC - December 8, 2024",https://player.vimeo.com/video/1037249398,Will Pete Hegseth be Trump's Defense Secretary?,0.6217620372772217,2024-12-08,0.425,0,1,1
"Interview: The Decision 2024 Team on WISN News/Talk Milwaukee Interview Donald Trump - November 5, 2024",https://player.vimeo.com/video/1027096828,Will Donald Trump win the 2024 US Presidential Election?,0.631248950958252,2024-11-05,0.5855,0,0,0
"Press Gaggle: Donald Trump Speaks to Reporters After Air Force One Arrival - February 2, 2025",https://player.vimeo.com/video/1052869246,Will Trump meet with Benjamin Netanyahu by next Friday?,0.6760057210922241,2025-02-02,0.9915,1,1,1
"Press Gaggle: Donald Trump Speaks to Reporters After Air Force One Arrival - February 2, 2025",https://player.vimeo.com/video/1052869246,Will Trump meet with Benjamin Netanyahu in his first 100 days?,0.6247212886810303,2025-02-02,0.9915,1,1,1
"Press Gaggle: Donald Trump Speaks to Reporters After Arrival in Harrisburg, Pennsylvania - October 20, 2024",https://player.vimeo.com/video/1021851256,"Will Trump say ""McDonald's"" during Pennsylvania rally on October 19?",0.6046335697174072,2024-10-20,0.9995,0,0,0
"Press Gaggle: Donald Trump Speaks to Reporters After Senate GOP Meeting - January 8, 2025",https://player.vimeo.com/video/1045493712,Will Trump attend Jimmy Carter's state funeral?,0.654787540435791,2025-01-08,0.9925,0,0,0
"Press Gaggle: Donald Trump Speaks to Reporters Before Marine One Departure - February 22, 2025",https://player.vimeo.com/video/1059581249,"Will Trump say ""Putin"" at CPAC conference on Saturday?",0.6600195169448853,2025-02-22,0.73,1,1,1
"Press Gaggle: Donald Trump Speaks to Reporters Before Marine One Departure - February 22, 2025",https://player.vimeo.com/video/1059581249,"Will Trump say ""Trump"" 3 or more times at CPAC conference on Saturday?",0.6303448677062988,2025-02-22,0.52,1,1,1
"Press Gaggle: Donald Trump Speaks to Reporters at Republican Governors Meeting - January 9, 2025",https://player.vimeo.com/video/1045848936,Will Trump attend Jimmy Carter's state funeral?,0.6370514631271362,2025-01-09,0.9905,0,0,0
"Remarks: Donald Trump Attends the Swearing In of Robert F. Kennedy, Jr. - February 13, 2025",https://player.vimeo.com/video/1058636480,RFK Jr. confirmed as Health & Human Services Secretary?,0.6811913251876831,2025-02-13,0.995,0,0,0
"Remarks: Donald Trump Attends the Swearing in of Tulsi Gabbard in the Oval Office - February 12, 2025",https://player.vimeo.com/video/1056205755,Tulsi Gabbard confirmed as Director of National Intelligence?,0.861588180065155,2025-02-12,0.998,0,0,0
"Remarks: Donald Trump Attends the Swearing in of Tulsi Gabbard in the Oval Office - February 12, 2025",https://player.vimeo.com/video/1056205755,Will Tulsi Gabbard be Trumpâ€™s Director of National Intelligence?,0.8099039793014526,2025-02-12,0.997,0,0,0
"Remarks: Donald Trump Attends the Swearing in of Tulsi Gabbard in the Oval Office - February 12, 2025",https://player.vimeo.com/video/1056205755,Will Joni Ernst vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,0.7820926308631897,2025-02-12,0.996,0,0,0
"Remarks: Donald Trump Attends the Swearing in of Tulsi Gabbard in the Oval Office - February 12, 2025",https://player.vimeo.com/video/1056205755,Will Susan Collins vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,0.7639359831809998,2025-02-12,0.9955,0,0,0
"Remarks: Donald Trump Attends the Swearing in of Tulsi Gabbard in the Oval Office - February 12, 2025",https://player.vimeo.com/video/1056205755,Will Cynthia Lummis vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,0.751700758934021,2025-02-12,0.996,0,0,0
"Remarks: Donald Trump Attends the Swearing in of Tulsi Gabbard in the Oval Office - February 12, 2025",https://player.vimeo.com/video/1056205755,Will Bill Cassidy vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,0.7375138401985168,2025-02-12,0.995,0,0,0
"Remarks: Donald Trump Attends the Swearing in of Tulsi Gabbard in the Oval Office - February 12, 2025",https://player.vimeo.com/video/1056205755,Will Mitch McConnell vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,0.7352155447006226,2025-02-12,0.128,0,0,0
"Remarks: Donald Trump Attends the Swearing in of Tulsi Gabbard in the Oval Office - February 12, 2025",https://player.vimeo.com/video/1056205755,Will John Fetterman vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,0.7262840270996094,2025-02-12,0.007,0,0,0
"Remarks: Donald Trump Attends the Swearing in of Tulsi Gabbard in the Oval Office - February 12, 2025",https://player.vimeo.com/video/1056205755,Will Lisa Murkowski  vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,0.7225168943405151,2025-02-12,0.9945,0,0,0
"Remarks: Donald Trump Attends the Swearing in of Tulsi Gabbard in the Oval Office - February 12, 2025",https://player.vimeo.com/video/1056205755,Will John Curtis vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,0.716312050819397,2025-02-12,0.625,0,0,0
"Remarks: Donald Trump Holds a Bilat with Keir Starmer of the United Kingdom - February 27, 2025",https://player.vimeo.com/video/1061016629,Will Trump meet with Keir Starmer in his first 100 days?,0.662470817565918,2025-02-27,0.9945,1,1,1
"Remarks: Donald Trump Holds a Bilat with Keir Starmer of the United Kingdom - February 27, 2025",https://player.vimeo.com/video/1061016629,Will Trump meet with Keir Starmer in 2025?,0.659144401550293,2025-02-27,0.9975,1,1,1
"Remarks: Donald Trump Holds a Bilateral Meeting with Narendra Modi of India - February 13, 2025",https://player.vimeo.com/video/1058633434,Will Trump meet with Narendra Modi in his first 100 days?,0.6489963531494141,2025-02-13,0.99,1,1,1
"Remarks: Donald Trump Hosts a St. Patrick's Day Reception at The White House - March 12, 2025",https://player.vimeo.com/video/1065283345,"Will Trump say ""Saint Patrick"" during his presser with Ireland PM?",0.672940731048584,2025-03-12,0.67,1,1,1
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - February 4, 2025",https://player.vimeo.com/video/1053564912,Chris Wright confirmed as Secretary of Energy?,0.6261001229286194,2025-02-04,0.9995,0,0,0
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 20, 2025",https://player.vimeo.com/video/1048816894,Will Trump pardon January 6 protestors on Day 1?,0.6595098376274109,2025-01-20,0.925,1,1,1
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 20, 2025",https://player.vimeo.com/video/1048816894,Will Trump pardon a January 6 protestor in his first 100 days?,0.6366984844207764,2025-01-20,0.9835,1,1,1
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 23, 2025",https://player.vimeo.com/video/1049835943,Will Trump sign 10 or more executive orders on January 22?,0.676888644695282,2025-01-23,0.015,0,0,0
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 23, 2025",https://player.vimeo.com/video/1049835943,Will Trump sign between 1 and 3 executive orders on January 22?,0.6662105321884155,2025-01-23,0.84,0,0,0
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 23, 2025",https://player.vimeo.com/video/1049835943,Will Trump sign between 7 and 9 executive orders on January 22?,0.6507815718650818,2025-01-23,0.0095,0,0,0
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 23, 2025",https://player.vimeo.com/video/1049835943,Will Trump sign between 4 and 6 executive orders on January 22?,0.6426326036453247,2025-01-23,0.115,0,0,0
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 23, 2025",https://player.vimeo.com/video/1049835943,Will Trump sign 0 executive orders on January 22?,0.6205908060073853,2025-01-23,0.0005,0,0,0
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 23, 2025",https://player.vimeo.com/video/1049835943,Will Donald Trump issue 75-99 executive orders in his first week?,0.6168456077575684,2025-01-23,0.021,0,0,0
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 23, 2025",https://player.vimeo.com/video/1049835943,Will Donald Trump issue 25-49 executive orders in his first week?,0.6160185933113098,2025-01-23,0.86,1,1,1
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 23, 2025",https://player.vimeo.com/video/1049835943,Will Donald Trump issue 100 or more executive orders in his first week?,0.6153086423873901,2025-01-23,0.013,0,0,0
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 23, 2025",https://player.vimeo.com/video/1049835943,Will Donald Trump issue 50-74 executive orders in his first week?,0.6087216138839722,2025-01-23,0.099,0,0,0
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 23, 2025",https://player.vimeo.com/video/1049835943,Will Trump issue 100-149 executive orders in first week?,0.6014549136161804,2025-01-23,0.0035,1,0,0
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 31, 2025",https://player.vimeo.com/video/1052446570,Will Trump impose tariffs on Mexico before March?,0.6986459493637085,2025-01-31,0.9,1,1,1
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 31, 2025",https://player.vimeo.com/video/1052446570,Will Trump impose tariffs on Canada before March?,0.6885079741477966,2025-01-31,0.82,1,1,1
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 31, 2025",https://player.vimeo.com/video/1052446570,Will Trump impose 25% tariff on Mexico or Canada before February?,0.6875659227371216,2025-01-31,0.1745,0,0,0
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 31, 2025",https://player.vimeo.com/video/1052446570,Trump imposes 25% tariff on Canada and Mexico before March?,0.6868226528167725,2025-01-31,0.65,1,1,1
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 31, 2025",https://player.vimeo.com/video/1052446570,Will Trump impose tariffs on China before March?,0.6822064518928528,2025-01-31,0.35,1,1,1
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 31, 2025",https://player.vimeo.com/video/1052446570,Will Trump impose tariffs on Mexico in the first 100 days?,0.6568052768707275,2025-01-31,0.82,1,1,1
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 31, 2025",https://player.vimeo.com/video/1052446570,Will Trump impose tariffs on Canada in the first 100 days?,0.6495025157928467,2025-01-31,0.855,1,1,1
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 31, 2025",https://player.vimeo.com/video/1052446570,Will Trump impose tariffs on China in the first 100 days?,0.6425796747207642,2025-01-31,0.74,1,1,1
"Remarks: Donald Trump Signs Executive Orders in the Oval Office - January 31, 2025",https://player.vimeo.com/video/1052446570,Will Trump impose tariffs on Taiwan before March?,0.6190868020057678,2025-01-31,0.08,0,1,1
"Remarks: Donald Trump Signs an Executive Order on Gender and Sports - February 5, 2025",https://player.vimeo.com/video/1054607995,Trump transgender sports ban?,0.7261682152748108,2025-02-05,0.993,1,1,1
"Remarks: Donald Trump Swears In Pam Bondi as Attorney General - February 5, 2025",https://player.vimeo.com/video/1054608157,Pam Bondi confirmed as Attorney General?,0.7741589546203613,2025-02-05,0.999,0,0,0
"Remarks: Donald Trump Swears In Pam Bondi as Attorney General - February 5, 2025",https://player.vimeo.com/video/1054608157,Will Pam Bondi be Trump's Attorney General?,0.7716999650001526,2025-02-05,0.9975,0,0,0
"Speech: Donald Trump Holds a Campaign Rally in Henderson, Nevada - October 31, 2024",https://player.vimeo.com/video/1025394586,"Will Trump say ""American dream"" 5 or more times during Nevada rally on Oct 31?",0.6094717979431152,2024-10-31,0.19,0,0,0
"Speech: Donald Trump Holds a Campaign Rally in Kinston, North Carolina - November 3, 2024",https://player.vimeo.com/video/1026158784,"Will Trump say ""North Carolina"" 20 or more during Greensboro, NC rally?",0.6338204145431519,2024-11-03,0.14,0,0,0
"Speech: Donald Trump Holds a Campaign Rally in Kinston, North Carolina - November 3, 2024",https://player.vimeo.com/video/1026158784,"Will Trump say ""vote"" 25 or more during Greensboro, NC rally?",0.612442135810852,2024-11-03,0.41,0,0,0
"Speech: Donald Trump Holds a Campaign Rally in Prescott Valley, Arizona - October 13, 2024",https://player.vimeo.com/video/1019816208,Kamala flips a 2020 Trump state?,0.6079629063606262,2024-10-13,0.375,0,1,0
"Speech: Donald Trump Holds a Campaign Rally in Salem, Virginia - November 2, 2024",https://player.vimeo.com/video/1025797723,"Will Trump say ""American dream"" 3 or more times during Virginia rally on Nov 2?",0.6124250292778015,2024-11-02,0.565,1,1,1
"Speech: Donald Trump Holds a Campaign Rally in State College, Pennsylvania - October 26, 2024",https://player.vimeo.com/video/1023848410,"Will Trump say ""North Carolina"" 5 or more times during Michigan rally on October 25?",0.6176918745040894,2024-10-26,0.12,0,0,0
"Speech: Donald Trump Holds a Campaign Rally in State College, Pennsylvania - October 26, 2024",https://player.vimeo.com/video/1023848410,"Will Trump say ""McDonald's"" during Pennsylvania rally on October 26?",0.6166399121284485,2024-10-26,0.85,1,1,1
"Speech: Donald Trump Holds a Campaign Rally in State College, Pennsylvania - October 26, 2024",https://player.vimeo.com/video/1023848410,"Will Trump say ""Ford"" during Michigan rally on October 25?",0.6100410223007202,2024-10-26,0.32,0,0,0
"Speech: Donald Trump Holds a Campaign Rally in State College, Pennsylvania - October 26, 2024",https://player.vimeo.com/video/1023848410,"Will Trump say ""American dream"" 3 or more times during Michigan rally on October 25?",0.6035337448120117,2024-10-26,0.42,0,0,0
"Speech: Donald Trump Holds a Campaign Rally in State College, Pennsylvania - October 26, 2024",https://player.vimeo.com/video/1023848410,"Will Trump say ""french fries"" during Pennsylvania rally on October 26?",0.6026419401168823,2024-10-26,0.385,1,1,1
"Speech: Donald Trump Holds a Political Rally in Saginaw, Michigan - October 3, 2024",https://player.vimeo.com/video/1017808681,"Will Trump say ""Make America Affordable Again"" during Michigan rally?",0.6181053519248962,2024-10-03,0.865,0,0,0
"Speech: Donald Trump Holds a Post-Inaugural Rally at Capitol One Arena - January 20, 2025",https://player.vimeo.com/video/1048746255,Will Biden pardon Trump?,0.6107636094093323,2025-01-20,0.025,0,0,0
"Speech: Donald Trump Holds a Post-Inaugural Rally at Capitol One Arena - January 20, 2025",https://player.vimeo.com/video/1048746255,Will Trump pardon January 6 protestors on Day 1?,0.6082203388214111,2025-01-20,0.925,1,1,1
